"action_id","action_name","logic_version","logic_type","indicator_key","direction","weight","rationale"
c40_0010,Introduce energy-efficiency standards for new residential buildings,v1,weighted_sum,median_household_income,supportive,0.2,Higher income can increase participation in source separation (with good program design).
c40_0010,Introduce energy-efficiency standards for new residential buildings,v1,weighted_sum,poverty_rate,constraining,0.25,"Higher poverty may require more free provision (bins, outreach) to sustain participation."
c40_0010,Introduce energy-efficiency standards for new residential buildings,v1,weighted_sum,unemployment_rate,supportive,0.15,"Can support job-creating waste programs (collection, compost operations) if designed well."
c40_0010,Introduce energy-efficiency standards for new residential buildings,v1,weighted_sum,employment_in_transport_and_logistics,supportive,0.2,Collection/hauling and logistics capacity supports organics diversion systems.
c40_0010,Introduce energy-efficiency standards for new residential buildings,v1,weighted_sum,electricity_access_rate,supportive,0.2,"If AD/biogas recovery is used, stable power access supports operations and monitoring."
c40_0012,Introduce energy-efficiency standards for new institutional buildings,v1,weighted_sum,median_household_income,supportive,0.2,Higher income can increase participation in source separation (with good program design).
c40_0012,Introduce energy-efficiency standards for new institutional buildings,v1,weighted_sum,poverty_rate,constraining,0.25,"Higher poverty may require more free provision (bins, outreach) to sustain participation."
c40_0012,Introduce energy-efficiency standards for new institutional buildings,v1,weighted_sum,unemployment_rate,supportive,0.15,"Can support job-creating waste programs (collection, compost operations) if designed well."
c40_0012,Introduce energy-efficiency standards for new institutional buildings,v1,weighted_sum,employment_in_transport_and_logistics,supportive,0.2,Collection/hauling and logistics capacity supports organics diversion systems.
c40_0012,Introduce energy-efficiency standards for new institutional buildings,v1,weighted_sum,electricity_access_rate,supportive,0.2,"If AD/biogas recovery is used, stable power access supports operations and monitoring."
c40_0013,Support Implementation of Industrial Building Efficiency Standards.,v1,weighted_sum,median_household_income,supportive,0.2,Higher income can increase participation in source separation (with good program design).
c40_0013,Support Implementation of Industrial Building Efficiency Standards.,v1,weighted_sum,poverty_rate,constraining,0.25,"Higher poverty may require more free provision (bins, outreach) to sustain participation."
c40_0013,Support Implementation of Industrial Building Efficiency Standards.,v1,weighted_sum,unemployment_rate,supportive,0.15,"Can support job-creating waste programs (collection, compost operations) if designed well."
c40_0013,Support Implementation of Industrial Building Efficiency Standards.,v1,weighted_sum,employment_in_transport_and_logistics,supportive,0.2,Collection/hauling and logistics capacity supports organics diversion systems.
c40_0013,Support Implementation of Industrial Building Efficiency Standards.,v1,weighted_sum,electricity_access_rate,supportive,0.2,"If AD/biogas recovery is used, stable power access supports operations and monitoring."
c40_0015,Retrofit residential buildings for energy efficiency,v1,weighted_sum,median_household_income,supportive,0.2,Higher income can increase participation in source separation (with good program design).
c40_0015,Retrofit residential buildings for energy efficiency,v1,weighted_sum,poverty_rate,constraining,0.25,"Higher poverty may require more free provision (bins, outreach) to sustain participation."
c40_0015,Retrofit residential buildings for energy efficiency,v1,weighted_sum,unemployment_rate,supportive,0.15,"Can support job-creating waste programs (collection, compost operations) if designed well."
c40_0015,Retrofit residential buildings for energy efficiency,v1,weighted_sum,employment_in_transport_and_logistics,supportive,0.2,Collection/hauling and logistics capacity supports organics diversion systems.
c40_0015,Retrofit residential buildings for energy efficiency,v1,weighted_sum,electricity_access_rate,supportive,0.2,"If AD/biogas recovery is used, stable power access supports operations and monitoring."
c40_0016,Retrofit commercial and institutional other non-residential buildings  for energy efficiency ,v1,weighted_sum,median_household_income,supportive,0.2,Higher income can increase participation in source separation (with good program design).
c40_0016,Retrofit commercial and institutional other non-residential buildings  for energy efficiency ,v1,weighted_sum,poverty_rate,constraining,0.25,"Higher poverty may require more free provision (bins, outreach) to sustain participation."
c40_0016,Retrofit commercial and institutional other non-residential buildings  for energy efficiency ,v1,weighted_sum,unemployment_rate,supportive,0.15,"Can support job-creating waste programs (collection, compost operations) if designed well."
c40_0016,Retrofit commercial and institutional other non-residential buildings  for energy efficiency ,v1,weighted_sum,employment_in_transport_and_logistics,supportive,0.2,Collection/hauling and logistics capacity supports organics diversion systems.
c40_0016,Retrofit commercial and institutional other non-residential buildings  for energy efficiency ,v1,weighted_sum,electricity_access_rate,supportive,0.2,"If AD/biogas recovery is used, stable power access supports operations and monitoring."
c40_0017,Retrofit municipal buildings for energy efficiency,v1,weighted_sum,median_household_income,supportive,0.2,Higher income can increase participation in source separation (with good program design).
c40_0017,Retrofit municipal buildings for energy efficiency,v1,weighted_sum,poverty_rate,constraining,0.25,"Higher poverty may require more free provision (bins, outreach) to sustain participation."
c40_0017,Retrofit municipal buildings for energy efficiency,v1,weighted_sum,unemployment_rate,supportive,0.15,"Can support job-creating waste programs (collection, compost operations) if designed well."
c40_0017,Retrofit municipal buildings for energy efficiency,v1,weighted_sum,employment_in_transport_and_logistics,supportive,0.2,Collection/hauling and logistics capacity supports organics diversion systems.
c40_0017,Retrofit municipal buildings for energy efficiency,v1,weighted_sum,electricity_access_rate,supportive,0.2,"If AD/biogas recovery is used, stable power access supports operations and monitoring."
c40_0018,Optimize energy efficiency and sustainability standards for existing industrial infrastructure,v1,weighted_sum,median_household_income,supportive,0.2,Higher income can increase participation in source separation (with good program design).
c40_0018,Optimize energy efficiency and sustainability standards for existing industrial infrastructure,v1,weighted_sum,poverty_rate,constraining,0.25,"Higher poverty may require more free provision (bins, outreach) to sustain participation."
c40_0018,Optimize energy efficiency and sustainability standards for existing industrial infrastructure,v1,weighted_sum,unemployment_rate,supportive,0.15,"Can support job-creating waste programs (collection, compost operations) if designed well."
c40_0018,Optimize energy efficiency and sustainability standards for existing industrial infrastructure,v1,weighted_sum,employment_in_transport_and_logistics,supportive,0.2,Collection/hauling and logistics capacity supports organics diversion systems.
c40_0018,Optimize energy efficiency and sustainability standards for existing industrial infrastructure,v1,weighted_sum,electricity_access_rate,supportive,0.2,"If AD/biogas recovery is used, stable power access supports operations and monitoring."
c40_0023,Adopt zero-emission bus fleets for public transport,v1,weighted_sum,median_household_income,supportive,0.2,Higher income can increase participation in source separation (with good program design).
c40_0023,Adopt zero-emission bus fleets for public transport,v1,weighted_sum,poverty_rate,constraining,0.25,"Higher poverty may require more free provision (bins, outreach) to sustain participation."
c40_0023,Adopt zero-emission bus fleets for public transport,v1,weighted_sum,unemployment_rate,supportive,0.15,"Can support job-creating waste programs (collection, compost operations) if designed well."
c40_0023,Adopt zero-emission bus fleets for public transport,v1,weighted_sum,employment_in_transport_and_logistics,supportive,0.2,Collection/hauling and logistics capacity supports organics diversion systems.
