"action_id","action_name","action_type","description","action_category","action_subcategory","investment_cost","implementation_timeline","biome"
c40_0010,Introduce energy-efficiency standards for new residential buildings,mitigation,"The city adopts new energy-efficiency standards for residential construction, ensuring all new buildings incorporate design and performance requirements such as improved thermal insulation, natural ventilation, shading devices, efficient lighting (LED), and solar-ready wiring for PV integration. Standards may also establish region-dependent requirements for cooling demand reduction (e.g., reflective roofs, cross-ventilation) and may also include whole life carbon requirements and promote the use of sustainable materials. Smaller cities can integrate these requirements into basic building codes, while larger cities can introduce advanced certifications or municipal green building standards.","Policies, Plans & Programs",Regulation & Standards,low,<5 years,
c40_0012,Introduce energy-efficiency standards for new institutional buildings,mitigation,"The city introduces energy-efficient and resource-efficient standards for schools, hospitals, and other public buildings, setting an example for sustainable construction. Standards should mandate efficient HVAC systems with proper zoning, daylighting strategies to reduce artificial lighting, occupancy sensors, reflective roofs, and integration of photovoltaic (PV) systems where feasibleand. They can also include whole life carbon requirements and promote the use of sustainable materials. Requirements may vary depending on regional climate conditions to address specific cooling or thermal comfort needs.","Policies, Plans & Programs",Regulation & Standards,low,<5 years,
c40_0013,Support Implementation of Industrial Building Efficiency Standards.,mitigation,"""Support Implementation of Industrial Building Efficiency Standards"" set guidelines for environmentally responsible construction, ensuring that new structures adhere to energy-efficient practices, thereby reducing carbon emissions and promoting sustainable urban development. Standards may also include whole life carbon requirements and promote the use of sustainable materials.","Policies, Plans & Programs",Regulation & Standards,low,<5 years,
c40_0015,Retrofit residential buildings for energy efficiency,mitigation,"The city supports retrofitting existing residential buildings to improve energy efficiency and reduce emissions. Key interventions include replacing inefficient refrigerators, air conditioners, and lighting with high-efficiency models (e.g., PROCEL Seal appliances), sealing windows and doors to reduce air leakage, and improving indoor comfort through natural ventilation and shading. Municipalities can facilitate access to financing programs, bulk procurement, and technical assistance for households to adopt upgrades. Retrofits should prioritize passive cooling strategies (shading, ventilation) before installing high-efficiency cooling technologies using low-GWP refrigerants.",Projects & Physical Actions,Energy & Building Retrofits,low,<5 years,
c40_0016,Retrofit commercial and institutional other non-residential buildings  for energy efficiency ,mitigation,"The city promotes energy retrofits in commercial and institutional buildings such as offices, shopping centers, universities, and hotels. Measures include upgrading HVAC systems with variable refrigerant flow (VRF) units, replacing fluorescent and halogen lighting with LEDs, implementing building automation and energy management systems, and improving the thermal envelope (insulation, reflective coatings, shading). Region-specific adaptations may also be required to address cooling and comfort needs. Retrofits often deliver short payback periods through lower operating costs and enhanced occupant comfort. Retrofits should prioritize passive cooling strategies (shading, ventilation) before installing high-efficiency cooling technologies using low-GWP refrigerants.",Projects & Physical Actions,Energy & Building Retrofits,low,<5 years,
c40_0017,Retrofit municipal buildings for energy efficiency,mitigation,"The city leads by example through energy retrofits in municipal buildings, including schools, health centers, and administrative offices. Interventions include replacing outdated air conditioners with high-efficiency models, upgrading lighting to LEDs with smart controls, improving building envelopes with reflective roofs and shading, and installing energy management systems for real-time monitoring. Adaptations should reflect regional climate conditions to ensure cost-effective energy savings. By prioritizing its own facilities, the city demonstrates leadership, reduces operating expenses, and showcases practical solutions that can be replicated by the private sector. Retrofits should prioritize passive cooling strategies (shading, ventilation) before installing high-efficiency cooling technologies using low-GWP refrigerants.",Projects & Physical Actions,Energy & Building Retrofits,low,<5 years,
c40_0018,Optimize energy efficiency and sustainability standards for existing industrial infrastructure,mitigation,"The city will promote the optimization of energy and environmental performance in existing industrial infrastructure, aiming to maximize efficiency, reduce emissions, and lower operational costs. This action focuses on upgrading equipment, improving process efficiency, and retrofitting industrial facilities to meet higher sustainability standards. Municipal roles may include providing incentives for energy audits and retrofits, facilitating partnerships with industry associations and utilities, and adopting regulations or voluntary standards aligned with national efficiency programs. These measures enhance industrial competitiveness, reduce resource intensity, and contribute to the city’s broader decarbonization and circular economy objectives.","Policies, Plans & Programs",Regulation & Standards,low,<5 years,
c40_0023,Adopt zero-emission bus fleets for public transport,mitigation,"""Adopt zero-emission bus fleets for public transport"" mitigation focuses on transitioning public transport fleets to zero-emission buses. According to the HIA, this means that the city or transit operator procures only zero-emission buses (from 2020 onwards). This strategy eliminates tailpipe emissions from traditional buses, improves air quality, and supports a sustainable and resilient urban transport system. Eco-driving training and maintenance programs can be implemented in parallel to maximize efficiency gains and emission reductions during the fleet transition.",Projects & Physical Actions,Mobility & Transport Projects,high,<5 years,
c40_0025,Promote deployment of zero-emission freight fleets (trucks),mitigation,"""Promote deployment of zero-emission freight fleets (trucks)"" mitigation involves adopting cleaner fuels and technologies to reduce the environmental impact of freight transportation. This initiative aims to decrease air pollution, promote sustainability, and improve the overall efficiency of urban logistics. Eco-driving training and maintenance programs can be implemented in parallel to maximize efficiency gains and emission reductions during the fleet transition.","Policies, Plans & Programs",Public Programs / Incentives,medium,<5 years,
c40_0029,Electrify municipal vehicle fleets,mitigation,"The city transitions its municipal vehicle fleets to electric vehicles, beginning with high-impact segments such as buses and garbage trucks. According to HIA guidance, this aligns with the broader objective of implementing key measures to promote transport electrification. Cities can adopt phased strategies, starting with their own fleets, then expanding through incentives for private sector fleets and gradually scaling as charging infrastructure develops. Emphasis should be placed on equity to ensure low-income areas also benefit from cleaner, quieter transport. Eco-driving training and maintenance programs can be implemented in parallel to maximize efficiency gains and emission reductions during the fleet transition.",Projects & Physical Actions,Mobility & Transport Projects,high,"5-10 years",
c40_0034,Enact and enforce material bans in order to restrict single use and non-recyclable materials,mitigation,"Impose restrictions on single-use or non-recyclable materials (e.g., single-use plastics, Styrofoam bans) to reduce environmental impact and promote the use of sustainable alternatives, contributing to waste reduction and overall environmental conservation.","Policies, Plans & Programs",Regulation & Standards,low,<5 years,
c40_0035,Optmize waste management systems ,mitigation,"Improve the efficiency of waste management systems, throught the development ou actualization of  municipal planning or strategies and implementation of alterntives to  expand the service coverage to more areas of the municipality,  increase energy efficiency, segregated collection, adequate treatment, promote sustainable waste disposal practices, improve the monitoring of regular disposal and waste deposits, reduce resource consumption and minimize environmental impact. ","Policies, Plans & Programs",Strategic Plans,medium,<5 years,
c40_0036,Upgrade Landfills to Engineered Sanitary Landfills with Gas Capture.,mitigation,"""Upgrade Landfills to Engineered Sanitary Landfills with Gas Capture."" strategies focus on responsible and sustainable landfill practices to minimize environmental degradation. By adopting effective management techniques, cities aim to reduce the ecological footprint associated with landfill sites and encourage waste reduction.",Projects & Physical Actions,Infrastructure Development,medium,<5 years,
c40_0037,"Implement residential and business segregated collection of recyclables, organic, and residual waste",mitigation,"Establish citywide three-bin waste separation systems-recyclables, organic waste, and residual waste, for households and businesses. Municipal governments play a central role by organizing segregated collection, running awareness campaigns, and providing training and engagement programs to ensure residents and businesses adopt correct waste sorting practices. Clear communication, adequate infrastructure, and continuous monitoring make this action scalable and practical for cities of all sizes, improving recycling rates and reducing landfill dependency. Cities should ensure universal coverage, address underserved areas, and monitor illegal dumping to achieve full implementation of segregated collection. Ensure that both dry and organic materials are collected separately, and strengthen recycling cooperatives as part of the system’s implementation.","Policies, Plans & Programs",Public Programs / Incentives,medium,<5 years,
c40_0040,Implement Volume-Based Collection policy,mitigation,Implement volume based collection fees that reward generators that geneerate less waste and impose higher fees on larger generators. This policy should incentivize waste reduction in the cities.,"Policies, Plans & Programs",Regulation & Standards,low,"5-10 years",
c40_0042,Expand urban and peri-urban green spaces,mitigation,"Expand and connect green spaces in cities and surrounding areas. This could include street tree planting, establishing green corridors, and developing pocket or largescale parks. Such efforts have many significant, long-lasting benefits. Increasing green space will enhance carbon sequestration and biodiversity. Green spaces improve climate resilience by providing shade, reducing the urban heat island effect and managing flood water. They also improve wellbeing, health and access to nature, while reducing noise and helping tackle air pollution. By integrating these measures into urban planning, cities can strengthen ecosystem services, improve resilience, and contribute to mitigation targets.",Projects & Physical Actions,Nature-Based Solutions,low,"5-10 years",
c40_0046,Strengthen coastal protection infrastructure,adaptation,"Strengthen coastal protection infrastructure strategies include the construction of sea walls and protective structures to mitigate the impact of rising sea levels and coastal erosion. This adaptation measure enhances the resilience of coastal areas and protects communities from the impacts of climate change. Crucially, these interventions must be developed through an integrated coastal management framework, prioritizing nature-based solutions where feasible, to avoid negative downstream effects and ensure equitable protection for all vulnerable communities.",Projects & Physical Actions,Infrastructure Development,high,"5-10 years",coastal_marine
c40_0048,Upgrade urban drainage systems,adaptation,"""Upgrade urban drainage systems"" involves eco-engineering solutions to enhance drainage systems, through capacity upgrade and network expansion. This adaptation measure aims to improve urban resilience by minimizing the impact of extreme weather events such as flooding.",Projects & Physical Actions,Infrastructure Development,medium,"5-10 years",
c40_0049,Build and maintain shelters for critical climate hazards,adaptation,"""Build and maintain shelters for critical climate hazards"" involves building and maintaining shelters in high-risk areas to protect residents during extreme weather events such as floods, cyclones, storms, landslides, extreme heat events or other critical climate hazards. Shelters should meet resilient design standards, including wind- and flood-resistant construction, and be strategically located to maximize accessibility for vulnerable populations. Where possible, shelters can serve multipurpose roles as schools or community centers. Clear funding mechanisms and defined responsibilities for operations and maintenance are essential to ensure long-term reliability and effectiveness.",Projects & Physical Actions,Emergency Infrastructure,low,<5 years,coastal_marine
c40_0051,Provide public shading in heat hotspots,adaptation,"""Provide public shading in heat hotspots"" involves the implementation of shade structures in public spaces, such as shade sails and canopies, and drought-tolerant trees, contributing to eco-engineering efforts. This adaptation measure enhances outdoor comfort, reduces heat stress, and promotes sustainable urban design.",Projects & Physical Actions,Nature-Based Solutions,low,<5 years,
c40_0052,Deploy cool pavements and cool roofs on heat‑exposed streets and buildings,adaptation,"Introduce reflective coatings, light-colored materials, permeable surfaces and cool roofs in street paving and buildings to reduce heat absorption and mitigate the urban heat island effect. Municipal governments can pilot these approaches in the most heat-exposed areas, integrate them into routine street upgrades and public building refrofits, and assess cost–benefit outcomes to guide broader implementation. These measures improve thermal comfort, reduce energy demand for cooling, and enhance urban resilience to rising temperatures.",Projects & Physical Actions,Infrastructure Development,low,"5-10 years",
c40_0053,Promote water-saving technologies and practices,adaptation,"Encourages the adoption of water-saving technologies and practices to conserve water resources and strengthen resilience to climate change. This includes measures such as rainwater harvesting, low-flow appliances, leak detection systems, and municipal incentive programs that support households and businesses in reducing consumption. These actions enhance sustainable water use and complement broader eco-engineering and adaptation efforts.","Policies, Plans & Programs",Public Programs / Incentives,low,"5-10 years",
c40_0056,Improve Watershed Protection and Management,adaptation,"""Watershed Protection and Management"" involves the protection and conservation of natural watershed areas to safeguard water quality, biodiversity, and ecosystem services, including measures such as preventing pollution and encrouchment. This initiative aims to ensure sustainable water management and resilience to the impacts of climate change.",Projects & Physical Actions,Nature-Based Solutions,low,<5 years,
c40_0062,Reform water tariffs to support efficiency and equity,adaptation,"""Reform water tariffs to support efficiency and equity"" involve pricing structures for water use, encouraging conservation and efficient use of water resources. This initiative aims to promote responsible water consumption and contribute to sustainable water management.","Policies, Plans & Programs",Regulation & Standards,low,"5-10 years",
c40_0071,Promote the phase out the reliance on fossil fuels for cooking (in favour of high-efficiency electric cookstoves such as induction stoves).,mitigation,"Promote the phase out the reliance on fossil fuels for cooking encourage environmentally friendly cooking practices, including the use of energy-efficient appliances and sustainable cooking methods. This strategy promotes resource conservation and contributes to overall sustainability in food preparation.","Policies, Plans & Programs",Public Programs / Incentives,low,"5-10 years",
icare_0001,Improve heat and energy recovery,mitigation,"Enhanced energy efficiency in industrial processes by recovering heat and energy from waste streams, improving process coupling, and adopting advanced technologies such as coke dry quenching, black liquor gasification, and top pressure recovery turbines. Includes reducing energy use in comminution, paper drying, and other industrial processes through optimized designs, operational improvements, and material efficiency strategies.",Projects & Physical Actions,Energy & Building Retrofits,high,>10 years,
